key,scroll,wrap,area_cm2,verdict,mean_range,median_range,flat_frac,tiles,pct
PHerc0211__z11520_w060,PHerc0211,w060,5.59,,23.266010920206707,23.248332977294922,0.0,24,0.3055555555555555
PHerc0211__z13312_w100,PHerc0211,w100,9.79,,23.09759060541789,20.43465805053711,0.0,24,0.2944444444444444
PHerc0211__z5520_w080,PHerc0211,w080,8.62,,22.867228507995605,23.01126480102539,0.0,24,0.2833333333333333
PHerc0211__z12112_w060,PHerc0211,w060,5.6,,22.80149284998576,21.416988372802734,0.0,24,0.2722222222222222
PHerc0211__z11520_w040,PHerc0211,w040,3.88,reprova,22.78911813100179,21.14950942993164,0.0,24,0.26111111111111107
PHerc0211__z13920_w060,PHerc0211,w060,5.92,,22.75404230753581,21.181106567382812,0.0,24,0.25
PHerc0211__z4320_w060,PHerc0211,w060,6.14,,22.701711018880207,20.92444610595703,0.0,24,0.2388888888888889
PHerc0211__z3712_w080,PHerc0211,w080,7.37,,22.305330276489258,20.822036743164062,0.0,24,0.22777777777777777
PHerc0211__z12112_w080,PHerc0211,w080,7.28,,22.29138978322347,21.768394470214844,0.0,24,0.21666666666666667
PHerc0211__z14512_w060,PHerc0211,w060,5.93,,22.10014756520589,21.190792083740234,0.0,24,0.20555555555555557
PHerc0211__z12720_w080,PHerc0211,w080,8.09,,22.069366137186687,21.273609161376953,0.0,24,0.19444444444444445
PHerc0211__z9120_w060,PHerc0211,w060,6.36,,21.791311899820965,22.050365447998047,0.0,24,0.18333333333333335
PHerc0211__z13920_w080,PHerc0211,w080,8.0,reprova,21.6529115041097,19.164897918701172,0.0,24,0.17222222222222222
PHerc0211__z4320_w080,PHerc0211,w080,8.33,,21.419090906778973,20.84646224975586,0.0,24,0.16111111111111112
PHerc0211__z3712_w060,PHerc0211,w060,5.86,,21.31993039449056,21.78445053100586,0.0,24,0.15
PHerc0211__z4912_w060,PHerc0211,w060,6.3,,21.203341801961262,20.50967788696289,0.0,24,0.1388888888888889
PHerc0211__z10912_w060,PHerc0211,w060,6.23,,20.816020647684734,21.82187271118164,0.0,24,0.12777777777777777
PHerc0211__z7312_w060,PHerc0211,w060,6.42,,20.80607318878174,20.72393798828125,0.0,24,0.11666666666666665
PHerc0211__z12720_w060,PHerc0211,w060,6.03,,20.46203072865804,19.698379516601562,0.0,24,0.10555555555555556
PHerc0211__z5520_w060,PHerc0211,w060,6.26,,20.24555015563965,17.352489471435547,0.0,24,0.09444444444444444
PHerc0211__z6720_w060,PHerc0211,w060,6.43,parcial,19.80154546101888,18.346290588378906,0.0,24,0.08333333333333333
PHerc0211__z6112_w060,PHerc0211,w060,6.42,,19.66014003753662,17.751792907714844,0.0,24,0.07222222222222222
PHerc0211__z9712_w060,PHerc0211,w060,6.54,,19.1914218266805,18.248733520507812,0.0,24,0.06111111111111111
PHerc0211__z11520_w080,PHerc0211,w080,7.52,,18.935876210530598,18.17673110961914,0.0,24,0.05
PHerc0211__z3712_w040,PHerc0211,w040,3.98,,18.926051139831543,18.587623596191406,0.0,24,0.03888888888888889
PHerc0211__z3712_w020,PHerc0211,w020,1.98,aprova,18.62053934733073,17.366127014160156,0.0,24,0.02777777777777778
PHerc0211__z13312_w080,PHerc0211,w080,7.89,,18.112169583638508,16.427528381347656,0.0,24,0.016666666666666666
PHerc0211__z10912_w080,PHerc0211,w080,8.28,,17.612359046936035,16.921897888183594,0.0,24,0.005555555555555556
PHerc0257__z4352_w020,PHerc0257,w020,1.83,,27.7248592376709,27.027854919433594,0.0,24,0.9166666666666667
PHerc0257__z4352_w040,PHerc0257,w040,3.79,,24.40675099690755,24.431655883789062,0.0,24,0.75
PHerc0257__z3744_w020,PHerc0257,w020,1.86,,24.396917661031086,22.472488403320312,0.0,24,0.5833333333333334
PHerc0257__z3744_w040,PHerc0257,w040,3.63,,23.559495608011883,22.473651885986328,0.0,24,0.41666666666666663
PHerc0257__z3744_w060,PHerc0257,w060,5.58,,19.418192227681477,19.266399383544922,0.0,24,0.25
PHerc0257__z4352_w060,PHerc0257,w060,5.98,,19.21113046010335,17.468494415283203,0.0,24,0.08333333333333333
PHerc0268__z12272_w020,PHerc0268,w020,1.53,,28.707236856222153,26.591981887817383,0.08333333333333333,24,0.9166666666666667
PHerc0268__z12272_w040,PHerc0268,w040,3.23,,27.59393985072772,24.24773406982422,0.08333333333333333,24,0.75
PHerc0268__z12272_w060,PHerc0268,w060,4.85,,19.007828950881958,16.13549041748047,0.0,24,0.5833333333333334
PHerc0268__z3872_w020,PHerc0268,w020,1.68,,18.290076573689777,18.318408966064453,0.0,24,0.41666666666666663
PHerc0268__z3872_w040,PHerc0268,w040,3.37,,13.249892234802246,12.159698486328125,0.0,24,0.25
PHerc0268__z3872_w060,PHerc0268,w060,4.91,,12.462906201680502,11.752689361572266,0.0,24,0.08333333333333333
PHerc0358__z11280_w020,PHerc0358,w020,1.65,,43.66687329610189,40.9913215637207,0.0,24,0.8333333333333333
PHerc0358__z11280_w060,PHerc0358,w060,5.72,,42.85911226272583,35.900123596191406,0.0,24,0.5
PHerc0358__z11280_w040,PHerc0358,w040,3.71,,33.698057333628334,33.78914260864258,0.0,24,0.16666666666666666
PHerc0800__z14672_w100,PHerc0800,w100,8.97,,46.69258487224579,31.626636505126953,0.041666666666666664,24,0.9947368421052631
PHerc0800__z5664_w020,PHerc0800,w020,1.74,aprova,34.80627123514811,36.5642032623291,0.0,24,0.9842105263157895
PHerc0800__z12864_w100,PHerc0800,w100,8.55,,33.697153091430664,24.06775665283203,0.0,24,0.9736842105263158
PHerc0800__z9872_w020,PHerc0800,w020,1.88,aprova,31.844547271728516,31.73087501525879,0.0,24,0.9631578947368421
PHerc0800__z9264_w060,PHerc0800,w060,5.4,,31.501060009002686,28.962303161621094,0.0,24,0.9526315789473684
PHerc0800__z9264_w040,PHerc0800,w040,3.79,,31.31245517730713,31.685993194580078,0.0,24,0.9421052631578948
PHerc0800__z6272_w060,PHerc0800,w060,5.48,,31.296883900960285,31.15560531616211,0.0,24,0.9315789473684211
PHerc0800__z5664_w040,PHerc0800,w040,3.74,,31.195207118988037,29.709300994873047,0.0,24,0.9210526315789473
PHerc0800__z9264_w020,PHerc0800,w020,1.96,aprova,30.936203320821125,29.200550079345703,0.0,24,0.9105263157894737
PHerc0800__z11072_w060,PHerc0800,w060,5.36,,29.984756628672283,28.74878692626953,0.0,24,0.9
PHerc0800__z6272_w080,PHerc0800,w080,7.06,,29.901272773742676,29.392375946044922,0.0,24,0.8894736842105263
PHerc0800__z16464_w100,PHerc0800,w100,8.47,,29.81129135688146,20.233890533447266,0.041666666666666664,24,0.8789473684210527
PHerc0800__z11072_w040,PHerc0800,w040,3.69,aprova,29.46904404958089,29.19023895263672,0.0,24,0.868421052631579
PHerc0800__z11072_w020,PHerc0800,w020,1.99,aprova,29.426482995351154,29.002132415771484,0.0,24,0.8578947368421053
PHerc0800__z8672_w020,PHerc0800,w020,2.04,aprova,29.15825843811035,28.212604522705078,0.0,24,0.8473684210526315
PHerc0800__z10464_w060,PHerc0800,w060,5.52,,28.38467264175415,27.54669189453125,0.0,24,0.8368421052631579
PHerc0800__z9264_w080,PHerc0800,w080,7.05,,28.198965072631836,26.910099029541016,0.0,24,0.8263157894736842
PHerc0800__z15872_w100,PHerc0800,w100,9.08,,28.064098517100017,24.73651123046875,0.0,24,0.8157894736842105
PHerc0800__z11072_w080,PHerc0800,w080,6.86,,28.006326993306477,26.26995849609375,0.0,24,0.8052631578947369
PHerc0800__z8672_w040,PHerc0800,w040,3.85,aprova,27.965623537699383,27.070110321044922,0.0,24,0.7947368421052632
PHerc0800__z9872_w040,PHerc0800,w040,3.73,,27.689092953999836,27.95214080810547,0.0,24,0.7842105263157895
PHerc0800__z6272_w040,PHerc0800,w040,3.73,,27.12147601445516,25.504287719726562,0.0,24,0.7736842105263158
PHerc0800__z8064_w060,PHerc0800,w060,5.13,,27.065823554992676,29.321685791015625,0.0,24,0.7631578947368421
PHerc0800__z17072_w020,PHerc0800,w020,1.67,parcial,27.040561358133953,26.584228515625,0.0,24,0.7526315789473684
PHerc0800__z14064_w100,PHerc0800,w100,9.18,,26.79006716112296,20.561107635498047,0.041666666666666664,24,0.7421052631578947
PHerc0800__z12272_w080,PHerc0800,w080,7.05,,26.505760828653973,27.988391876220703,0.0,24,0.7315789473684211
PHerc0800__z10464_w040,PHerc0800,w040,3.89,,26.4972562789917,25.814067840576172,0.0,24,0.7210526315789474
PHerc0800__z9872_w060,PHerc0800,w060,5.41,,26.486515680948894,24.330032348632812,0.0,24,0.7105263157894737
PHerc0800__z9264_w100,PHerc0800,w100,8.55,,26.42788553237915,26.971065521240234,0.0,24,0.7000000000000001
PHerc0800__z10464_w020,PHerc0800,w020,1.93,,26.369279225667317,25.97005844116211,0.0,24,0.6894736842105263
PHerc0800__z6272_w020,PHerc0800,w020,1.85,parcial,26.14470688501994,24.917312622070312,0.0,24,0.6789473684210526
PHerc0800__z8672_w100,PHerc0800,w100,8.04,,26.13254515329997,21.49492645263672,0.0,24,0.6684210526315789
PHerc0800__z5664_w060,PHerc0800,w060,5.49,,25.959006945292156,26.19738006591797,0.0,24,0.6578947368421053
PHerc0800__z10464_w080,PHerc0800,w080,7.22,,25.85555585225423,25.95822525024414,0.0,24,0.6473684210526316
PHerc0800__z14064_w060,PHerc0800,w060,5.65,,25.603102842966717,23.71487808227539,0.0,24,0.6368421052631579
PHerc0800__z16464_w060,PHerc0800,w060,5.15,,25.474797248840332,22.326133728027344,0.0,24,0.6263157894736843
PHerc0800__z7472_w020,PHerc0800,w020,1.66,reprova,25.414193153381348,24.218368530273438,0.0,24,0.6157894736842106
PHerc0800__z12272_w020,PHerc0800,w020,1.95,aprova,25.261111577351887,23.914077758789062,0.0,24,0.6052631578947368
PHerc0800__z10464_w100,PHerc0800,w100,8.76,,25.23626645406087,25.347431182861328,0.0,24,0.5947368421052631
PHerc0800__z12272_w060,PHerc0800,w060,5.42,,25.225294431050617,24.020076751708984,0.0,24,0.5842105263157895
PHerc0800__z11072_w100,PHerc0800,w100,8.44,,25.16596508026123,23.554344177246094,0.0,24,0.5736842105263158
PHerc0800__z12272_w040,PHerc0800,w040,3.73,,24.863664309183758,25.05164337158203,0.0,24,0.5631578947368421
PHerc0800__z6272_w100,PHerc0800,w100,8.46,,24.690925280253094,23.336315155029297,0.0,24,0.5526315789473685
PHerc0800__z14064_w020,PHerc0800,w020,1.91,aprova,24.54194672902425,24.840450286865234,0.0,24,0.5421052631578948
PHerc0800__z17072_w040,PHerc0800,w040,3.26,,24.462878863016766,25.948978424072266,0.0,24,0.531578947368421
PHerc0800__z16464_w040,PHerc0800,w040,3.48,,24.45693238576253,23.01675033569336,0.0,24,0.5210526315789474
PHerc0800__z13472_w060,PHerc0800,w060,5.62,,24.452889283498127,24.160167694091797,0.0,24,0.5105263157894737
PHerc0800__z12864_w040,PHerc0800,w040,3.85,,24.36129967371623,24.266803741455078,0.0,24,0.5
PHerc0800__z8672_w080,PHerc0800,w080,6.93,,24.32453378041585,23.146286010742188,0.0,24,0.48947368421052634
PHerc0800__z9872_w100,PHerc0800,w100,8.69,,24.187106291453045,23.034839630126953,0.0,24,0.4789473684210526
PHerc0800__z15264_w100,PHerc0800,w100,8.93,aprova,24.16765018304189,21.046642303466797,0.041666666666666664,24,0.46842105263157896
PHerc0800__z8672_w060,PHerc0800,w060,5.43,,24.065812587738037,22.38896942138672,0.0,24,0.4578947368421053
PHerc0800__z6864_w080,PHerc0800,w080,6.85,,24.030789057413738,24.141429901123047,0.0,24,0.4473684210526316
PHerc0800__z5664_w100,PHerc0800,w100,8.48,,23.74861176808675,25.15612030029297,0.0,24,0.4368421052631579
PHerc0800__z9872_w080,PHerc0800,w080,7.12,,23.694482167561848,24.42929458618164,0.0,24,0.4263157894736842
PHerc0800__z6864_w060,PHerc0800,w060,5.38,reprova,23.581322352091473,21.56755828857422,0.0,24,0.41578947368421054
PHerc0800__z13472_w100,PHerc0800,w100,9.05,,23.501021087169647,22.841842651367188,0.041666666666666664,24,0.4052631578947369
PHerc0800__z14672_w020,PHerc0800,w020,1.78,aprova,23.361133575439453,22.38393783569336,0.0,24,0.39473684210526316
PHerc0800__z8064_w100,PHerc0800,w100,8.16,,23.24726454416911,20.932727813720703,0.0,24,0.3842105263157895
PHerc0800__z15264_w020,PHerc0800,w020,1.71,aprova,23.041838963826496,22.25311279296875,0.0,24,0.3736842105263158
PHerc0800__z13472_w020,PHerc0800,w020,1.86,aprova,22.639859835306805,22.794429779052734,0.0,24,0.3631578947368421
PHerc0800__z15872_w040,PHerc0800,w040,3.53,,22.503167470296223,22.285991668701172,0.0,24,0.35263157894736846
PHerc0800__z16464_w080,PHerc0800,w080,6.72,,22.462382316589355,20.122047424316406,0.0,24,0.34210526315789475
